City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,pasni,25.2631,63.471,27.83,73,0,6.86,PK,1683392950
252,turpan,42.9333,89.1667,14.9,28,89,3.6,CN,1683392950
253,lianzhou,24.7811,112.3825,20.93,95,91,2.41,CN,1683392950
254,el alto,-4.2714,-81.2147,31.81,70,79,2.9,PE,1683392951
255,kapuskasing,49.4169,-82.4331,18.05,36,75,5.66,CA,1683392951
256,lichinga,-13.3128,35.2406,14.16,89,10,1.22,MZ,1683392951
257,siran,40.1894,39.1267,11.84,85,89,2.21,TR,1683392951
258,bozoum,6.3193,16.3799,27.67,58,96,2.22,CF,1683392952
259,neftekamsk,56.092,54.2703,6.64,87,89,5.43,RU,1683392952
260,east ballina,-28.8667,153.5833,17.23,89,96,2.77,AU,1683392952
261,bonthe,7.5264,-12.505,30.61,64,85,5.84,SL,1683392953
262,wenxing,28.6667,112.8833,15.05,89,100,6.64,CN,1683392953
263,lazaro cardenas,17.9583,-102.2,30.89,56,6,3.46,MX,1683392813
264,broome,42.2506,-75.833,19.45,45,0,4.63,US,1683392869
265,vredendal,-31.6683,18.5012,15.7,74,0,4.04,ZA,1683392954
266,corner brook,48.9667,-57.9484,7.09,69,100,2.75,CA,1683392749
267,stilfontein,-26.8449,26.7683,19.23,44,84,1.07,ZA,1683392955
268,ust-nera,64.5667,143.2,-7.67,83,97,2.39,RU,1683392955
269,kuanda,56.3161,116.0806,4.37,66,89,0.9,RU,1683392955
270,cockburn town,21.4612,-71.1419,26.4,77,20,5.61,TC,1683392930
271,tanumah,27.1,44.1333,33.89,13,29,3.85,SA,1683392956
272,thief river falls,48.1191,-96.1812,15.53,82,100,6.17,US,1683392956
273,kavaratti,10.5669,72.642,28.92,66,91,4.62,IN,1683392956
274,severo-yeniseyskiy,60.3725,93.0408,-0.91,95,74,2.35,RU,1683392956
275,yeniseysk,58.4497,92.1703,2.83,91,100,0.37,RU,1683392957
276,faya-largeau,17.9257,19.1043,34.83,11,0,4.78,TD,1683392962
277,vernon,50.2581,-119.2691,13.5,88,100,3.58,CA,1683392705
278,ketchikan,55.3422,-131.6461,9.26,81,100,3.09,US,1683392962
279,serdar,38.9764,56.2757,22.19,36,55,2.99,TM,1683392962
280,iskateley,67.6803,53.1512,-7.18,92,65,3.01,RU,1683392963
281,pisco,-13.7,-76.2167,24.03,73,100,1.03,PE,1683392963
282,lae,-6.7221,146.9847,24.53,87,92,2.13,PG,1683392963
283,taksimo,56.3444,114.8794,4.33,67,97,1.75,RU,1683392963
284,la sarre,48.8002,-79.1996,17.56,36,37,1.45,CA,1683392963
285,kapa'a,22.0752,-159.319,23.18,83,100,8.75,US,1683392964
286,port blair,11.6667,92.75,29.37,72,94,2.16,IN,1683392964
287,san francisco de la paz,14.9,-86.2,32.84,33,65,2.27,HN,1683392964
288,mehran,33.1222,46.1646,30.97,9,0,1.41,IR,1683392964
289,antigo,45.1402,-89.1523,12.4,100,100,5.14,US,1683392965
290,nyurba,63.2842,118.3319,1.28,84,96,5.7,RU,1683392965
291,bochum,51.4833,7.2167,17.7,71,100,1.34,DE,1683392560
292,belmonte,-15.8631,-38.8828,27.24,68,35,5.73,BR,1683392965
293,alta sierra,35.7291,-118.5495,4.5,58,47,4.04,US,1683392965
294,weno,7.4515,151.8468,25.97,94,100,0.0,FM,1683392966
295,qarshi,38.8667,65.8,16.9,55,0,3.09,UZ,1683392966
296,myeik,12.4333,98.6,28.69,77,57,2.56,MM,1683392966
297,glendive,47.1053,-104.7125,12.05,66,100,4.63,US,1683392967
298,veraval,20.9,70.3667,27.78,80,23,5.45,IN,1683392967
299,asau,46.4333,26.4,17.51,74,99,0.8,RO,1683392967
300,howard springs,-12.497,131.047,26.95,95,72,3.15,AU,1683392930
301,bathsheba,13.2167,-59.5167,30.34,66,20,6.17,BB,1683392967
302,kharabali,47.4196,47.2568,19.77,49,29,2.52,RU,1683392968
303,puerto armuelles,8.2833,-82.8667,33.99,57,79,3.52,PA,1683392968
304,wau,7.7029,27.9953,32.3,36,54,1.43,SS,1683392969
305,bikenibeu village,1.3673,173.1241,25.98,94,75,4.63,KI,1683392969
306,monze,-16.2833,27.4833,18.8,47,36,2.61,ZM,1683392969
307,mareeba,-17.0,145.4333,21.93,91,97,1.17,AU,1683392969
308,grants pass,42.439,-123.3284,13.21,68,100,2.57,US,1683392970
309,baukau,51.5526,7.2042,18.0,72,100,1.79,DE,1683392970
310,lompoc,34.6391,-120.4579,17.05,72,75,5.14,US,1683392970
311,port moresby,-9.4431,147.1797,24.76,92,100,2.25,PG,1683392970
312,luanda,-8.8368,13.2343,28.0,69,20,3.09,AO,1683392675
313,paradip garh,20.3167,86.6167,28.98,82,9,5.86,IN,1683392972
314,banda aceh,5.5577,95.3222,26.54,86,100,5.72,ID,1683392972
315,yuzhno-kurilsk,44.0306,145.8556,1.36,84,100,2.73,RU,1683392972
316,puerto baquerizo moreno,-0.9,-89.6,28.55,84,40,5.14,EC,1683392972
317,tazacorte,28.629,-17.9293,23.54,69,20,8.75,ES,1683392973
318,dawson creek,55.7666,-120.2362,15.32,47,0,5.91,CA,1683392973
319,mossel bay,-34.1831,22.146,17.96,89,0,1.17,ZA,1683392423
320,ugoofaaru,5.6667,73.0,29.3,70,100,6.93,MV,1683392973
321,andergrove,-21.0833,149.1833,20.91,72,82,4.44,AU,1683392973
322,mahina,-17.5065,-149.489,25.87,83,40,1.03,PF,1683392974
323,saint-pierre,-21.3393,55.4781,24.82,83,75,7.2,RE,1683392554
324,langzhong,31.5504,105.9938,19.98,67,100,2.81,CN,1683392760
325,xining,36.6167,101.7667,6.04,79,100,4.35,CN,1683392974
326,sterling,39.0062,-77.4286,22.92,43,40,2.24,US,1683392974
327,klyuchi,52.2667,79.1667,17.38,23,12,2.38,RU,1683392974
328,altay,47.8667,88.1167,6.93,51,100,0.96,CN,1683392974
329,chosica,-11.9431,-76.7094,18.67,62,31,3.71,PE,1683392778
330,cozumel,20.5083,-86.9458,33.04,63,40,2.68,MX,1683392975
331,borzya,50.3833,116.5167,6.29,28,5,3.11,RU,1683392975
332,meadow lakes,61.6247,-149.6011,6.22,82,100,0.0,US,1683392975
333,fortuna,40.5982,-124.1573,12.18,79,46,1.34,US,1683392975
334,pokhara,28.2333,83.9833,22.52,50,85,1.71,NP,1683392592
335,juegang,32.3174,121.1855,13.82,91,100,6.03,CN,1683392975
336,foumban,5.7291,10.9001,21.41,85,93,1.19,CM,1683392976
337,olyokminsk,60.3736,120.4264,3.91,93,100,4.9,RU,1683392976
338,suva,-18.1416,178.4415,22.71,94,40,0.0,FJ,1683392976
339,xinyuan,37.3,99.0,-0.85,97,100,2.07,CN,1683392976
340,uturoa,-16.7333,-151.4333,27.78,77,97,8.81,PF,1683392976
341,klaksvik,62.2266,-6.589,9.51,98,99,6.69,FO,1683392976
342,enewetak,11.3474,162.3373,27.39,82,55,8.48,MH,1683392976
343,okhotsk,59.3833,143.3,1.68,80,10,1.16,RU,1683392977
344,san antonio,29.4241,-98.4936,28.71,77,100,5.14,US,1683392893
345,peruibe,-24.32,-46.9983,26.42,73,90,2.31,BR,1683392905
346,igarka,67.4667,86.5833,-9.11,91,49,2.85,RU,1683392977
347,peniche,39.3558,-9.3811,21.71,83,6,6.01,PT,1683392977
348,walvis bay,-22.9575,14.5053,14.49,80,83,6.36,NA,1683392977
349,egilsstadir,65.2653,-14.3948,11.82,75,92,3.33,IS,1683392977
350,ostersund,63.1792,14.6357,8.25,36,100,3.09,SE,1683392977
351,dawei,14.0833,98.2,26.96,83,24,0.49,MM,1683392978
352,maun,-19.9833,23.4167,23.82,23,4,0.96,BW,1683392978
353,arica,-18.475,-70.3042,23.75,67,93,3.32,CL,1683392978
354,aberdeen,57.1437,-2.0981,9.25,100,100,4.63,GB,1683392978
355,mazamari,-11.3258,-74.5308,29.51,58,54,1.29,PE,1683392978
356,toamasina,-18.1667,49.3833,25.0,94,75,2.06,MG,1683392978
357,crane,31.3974,-102.3501,28.02,27,95,1.76,US,1683392978
358,cowra,-33.8333,148.6833,9.2,81,93,1.68,AU,1683392979
359,rovnoye,50.7765,46.0509,10.18,69,100,7.1,RU,1683392979
360,hilo,19.7297,-155.09,23.12,90,40,2.57,US,1683392979
361,labytnangi,66.6572,66.4183,-6.28,91,100,4.64,RU,1683392979
362,mahibadhoo,3.7833,72.9667,28.84,73,100,7.07,MV,1683392979
